Key Result,Objective,Initial,Current Value,Target Value,Percentage,Progress,Status,Time Span,Initiatives,Active
Realizar proyecto final,Improve LLM Knowledge (https://www.notion.so/Improve-LLM-Knowledge-38dea734d45647d0a116cc750dcdd4ff?pvs=21),1,1,5,0.2,0.2,🔴,"July 1, 2024 → September 30, 2024",,true
Tomar clases de bootcamp LLM,Improve LLM Knowledge (https://www.notion.so/Improve-LLM-Knowledge-38dea734d45647d0a116cc750dcdd4ff?pvs=21),0,16,16,1,1,🟢,"July 1, 2024 → September 30, 2024",,true
Generar declaración Renta,Presentar Renta (https://www.notion.so/Presentar-Renta-f5a5d277cbf144d38942946e1be56725?pvs=21),0,0,1,0,0,🔴,"July 1, 2024 → September 30, 2024",,true
Descargar soportes de Renta,Presentar Renta (https://www.notion.so/Presentar-Renta-f5a5d277cbf144d38942946e1be56725?pvs=21),0,0,5,0,0,🔴,"July 1, 2024 → September 30, 2024",,true
Descargar nuevas reglas de Renta,Presentar Renta (https://www.notion.so/Presentar-Renta-f5a5d277cbf144d38942946e1be56725?pvs=21),0,0,1,0,0,🔴,"July 1, 2024 → September 30, 2024",,true
Take english test on platzi,Improve my english to A2 level (https://www.notion.so/Improve-my-english-to-A2-level-306189cd840b4e04940aa5d76f2352f6?pvs=21),,1,1,1,1,🟢,"April 1, 2022 → June 30, 2022",,false
Take A2 english courses on platzi,Improve my english to A2 level (https://www.notion.so/Improve-my-english-to-A2-level-306189cd840b4e04940aa5d76f2352f6?pvs=21),,1,10,0.1,0.1,🔴,"April 1, 2022 → June 30, 2022",,false
Take datacademy challenge,Improve my Data Science skills (https://www.notion.so/Improve-my-Data-Science-skills-ba041910b41848d7a28b78a554496ab9?pvs=21),,5,5,1,1,🟢,"January 1, 2022 → March 31, 2022",,false
Create a NFT’s galley with 4 NFT’s,Learn and practice about cryptoassets (https://www.notion.so/Learn-and-practice-about-cryptoassets-4d9c731972674c1c92197cda6b6a5ea2?pvs=21),,4,4,1,1,🟢,"January 1, 2022 → March 31, 2022",Overview de NFT´s (https://www.notion.so/Overview-de-NFT-s-155dc1aa61944389b02127e3a80a5197?pvs=21),false
Take a cryptoassets management course,Learn and practice about cryptoassets (https://www.notion.so/Learn-and-practice-about-cryptoassets-4d9c731972674c1c92197cda6b6a5ea2?pvs=21),,20,20,1,1,🟢,"January 1, 2022 → March 31, 2022",,false
Take 2 courses about Bitcoin and Blockchain,Learn about blockchain 2.0  (https://www.notion.so/Learn-about-blockchain-2-0-8bdf70dc020d46d0bd568d84721b8019?pvs=21),,2,2,1,1,🟢,"April 1, 2022 → June 30, 2022",,false
Take 2 audio-courses about blockchain history,Learn about blockchain 2.0  (https://www.notion.so/Learn-about-blockchain-2-0-8bdf70dc020d46d0bd568d84721b8019?pvs=21),,2,2,1,1,🟢,"April 1, 2022 → June 30, 2022",,false
Take 2 courses of Startup path,Improve Startup skills (https://www.notion.so/Improve-Startup-skills-f3f5fdbe4b4c4829b656c6762d8b20ec?pvs=21),0,2,2,1,1,🟢,"January 2, 2023 → March 31, 2023",,false
Take 2 courses of Data Science Path,Improve Data Science skills 2023 (https://www.notion.so/Improve-Data-Science-skills-2023-525805e6f8d34240a353ecaf1a7cb599?pvs=21),0,2,2,1,1,🟢,"January 2, 2023 → March 31, 2023,April 1, 2023 → June 30, 2023",,"false"
Take 2 courses of A2 Level,Improve my English A2 Level (https://www.notion.so/Improve-my-English-A2-Level-7a3752fff1f949e2aa3ba80933b749f3?pvs=21),0,0,2,0,0,🔴,"January 2, 2023 → March 31, 2023,April 1, 2023 → June 30, 2023",,"false"
Advance in Platzi´s Data Science path,Advance in Data Science path (https://www.notion.so/Advance-in-Data-Science-path-70acb4b3415a4929bb5b7a2f526cea44?pvs=21),0,2,3,0.666666666667,0.66,🟠,"October 1, 2022 → December 31, 2022",,false
Advance in ETH Developer Program on Platzi,,0,0,1,0,0,🔴,,Complete 1 courses of ETH Dev (https://www.notion.so/Complete-1-courses-of-ETH-Dev-47367c04f40b4d73b2069de7c58aa495?pvs=21),
Finish the review the  A1 english basic course,Review my English A1 Level (https://www.notion.so/Review-my-English-A1-Level-94f1fa8755eb41809545e7b2cefdef9e?pvs=21),,3,3,1,1,🟢,"July 1, 2022 → September 30, 2022",,false
Finish the review the A1 english vocabulary course,Review my English A1 Level (https://www.notion.so/Review-my-English-A1-Level-94f1fa8755eb41809545e7b2cefdef9e?pvs=21),,9,9,1,1,🟢,"July 1, 2022 → September 30, 2022",,false
Get my Celo Developer Certificate,Improve my Blockchain Developer Skills (https://www.notion.so/Improve-my-Blockchain-Developer-Skills-993ee256601c419296a1d01d7424627f?pvs=21),0,6,6,1,1,🟢,"October 1, 2022 → December 31, 2022",,false
